REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,88.9,283.0576,180,NO
C2,CAP_NP_CAP0402_DISCRETE_33PF_,33PF,,CAP0402,191.0588,279.8572,0,NO
C3,CAP_NP_CAP0402_DISCRETE_0.1UF_,0.1UF,,CAP0402,97.8916,279.654,0,NO
C4,CAP_NP_CAP0402_DISCRETE_0.1UF_,0.1UF,,CAP0402,86.8172,278.3332,180,NO
C441,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,177.0126,279.8318,0,YES
C442,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,95.8263,261.7876,0,YES
C443,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,59.9694,260.8326,180,YES
C444,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,138.7998,260.686,180,YES
D1,DIODE_SCHOTTKY_SOD-123_1N6263W-7-F,1N6263W-7-F,,SOD-123,80.6199,250.9063,90,NO
D2,DIODE_SCHOTTKY_SOD-123_1N6263W-7-F,1N6263W-7-F,,SOD-123,132.0549,225.6841,90,NO
D16,DIODE_SCHOTTKY_SOD-123_1N6263W-7-F,1N6263W-7-F,,SOD-123,132.0549,206.3786,90,YES
D17,DIODE_SCHOTTKY_SOD-123_1N6263W-7-F,1N6263W-7-F,,SOD-123,80.6199,179.7665,90,YES
FID1,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,265.2776,355.5492,0,YES
FID2,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,13.5128,355.1936,0,YES
F3,F_3568_F_3568_3568,3568,,F_3568,21.2852,42.5407,90,YES
F4,F_3568_F_3568_3568,3568,,F_3568,21.2852,32.3596,90,YES
FID3,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,13.5128,7.6708,0,YES
FID4,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,265.2776,7.6708,0,YES
FID5,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,265.2776,355.5492,0,NO
FID6,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,13.5128,355.1936,0,NO
FID7,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,265.2776,7.6708,0,NO
FID8,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,13.5128,7.6708,0,NO
FL1,BNX0XX-01L_FIL_BNX022-01L_LC EMI,LC EMI,,FIL_BNX022-01L,22.5552,57.4548,0,NO
FL2,BNX0XX-01L_FIL_BNX022-01L_LC EMI,LC EMI,,FIL_BNX022-01L,22.6568,20.7772,0,YES
J1,SMB_RA_SMB_RA_731000103,731000103,,SMB_RA,5.08,280.4765,0,YES
J2,MCX-J-P-H-RA-TH1_SAMTEC_MCX-J-P-H-RA-TH1_MCX-J-P-H-RA-TH1,MCX-J-P-H-RA-TH1,,SAMTEC_MCX-J-P-H-RA-TH1,5.0803,271.2408,270,YES
MH1,MT_HOLE_MOUNTHOLE_MT_HOLE,Mt_Hole,,MOUNTHOLE,246.38,355.6,0,NO
MH2,MT_HOLE_MOUNTHOLE_MT_HOLE,Mt_Hole,,MOUNTHOLE,271.78,355.6,0,NO
R2,R_RES1206_10 OHM,10 Ohm,,RES1206,63.2968,296.8244,0,YES
R3,R_RES0603_0 OHM,0 Ohm,,RES0603,177.1396,284.3276,0,YES
R4,R_RES0603_0 OHM,0 Ohm,,RES0603,177.1396,282.8544,0,YES
R5,R_RES0603_0 OHM,0 Ohm,,RES0603,177.1396,281.3812,0,YES
R6,R_RES0603_4.99K,4.99K,,RES0603,146.4564,262.001,0,NO
R7,R_RES0603_4.99K,4.99K,,RES0603,134.7724,261.9639,180,NO
R8,R_RES0603_4.99K,4.99K,,RES0603,146.4564,259.939,0,NO
R9,R_RES0603_4.99K,4.99K,,RES0603,134.7724,259.9019,180,NO
R10,R_RES0603_4.99,4.99,,RES0603,97.4291,259.5982,180,NO
TP1,TESTPOINT_TP_KEYSTONE_5000A_5004 YELLOW,5004 Yellow,,TP_KEYSTONE_5000A,109.2962,237.3163,270,YES
TP2,TESTPOINT_TP_KEYSTONE_5000A_5004 YELLOW,5004 Yellow,,TP_KEYSTONE_5000A,67.7926,235.8065,0,YES
TP3,TESTPOINT_TP_KEYSTONE_5000A_5004 YELLOW,5004 Yellow,,TP_KEYSTONE_5000A,70.7898,235.8065,0,YES
