,#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height
82,comp,1,1,U1,HCCStar_V1a,HCCSTARWIDE_V1A,22.116799999999998,428.9694,-90,No
81,comp,1,1,RT1,1OK,RES0603,34.258,422.3654,0,No
32,comp,1,1,R9,0,RES0402,11.017000000000003,447.0796,90,No
31,comp,1,1,R8,0,RES0402,11.017000000000003,444.565,-90,No
30,comp,1,1,R7,1k,RES0402,7.054600000000001,409.4622,90,No
29,comp,1,1,R6,1k,RES0402,2.0,409.4622,90,No
80,comp,1,1,R57,10K,RES0402,66.82079999999999,410.7068,90,No
79,comp,1,1,R56,10K,RES0402,66.77000000000001,395.1874,-90,No
78,comp,1,1,R55,10K,RES0402,64.22999999999999,410.7068,90,No
77,comp,1,1,R54,10K,RES0402,64.22999999999999,395.1874,-90,No
76,comp,1,1,R53,10K,RES0402,61.690000000000005,410.7068,90,No
75,comp,1,1,R52,10K,RES0402,61.690000000000005,395.1874,-90,No
74,comp,1,1,R51,0,RES0402,47.9652,449.6411,90,No
73,comp,1,1,R50,0,RES0402,47.9398,447.3805,-90,No
28,comp,1,1,R5,1k,RES0402,-3.0546000000000006,409.4622,90,No
72,comp,1,1,R49,0,RES0402,47.872400000000006,440.4756,90,No
71,comp,1,1,R48,0,RES0402,47.847,438.21500000000003,-90,No
70,comp,1,1,R47,0,RES0402,47.847,430.976,90,No
69,comp,1,1,R46,0,RES0402,47.8216,428.7154,-90,No
68,comp,1,1,R45,0,RES0402,47.07620000000001,449.6411,90,No
67,comp,1,1,R44,0,RES0402,47.0508,447.3805,-90,No
66,comp,1,1,R43,0,RES0402,46.983399999999996,440.4756,90,No
65,comp,1,1,R42,0,RES0402,46.958000000000006,438.21500000000003,-90,No
64,comp,1,1,R41,0,RES0402,46.958000000000006,430.976,90,No
63,comp,1,1,R40,0,RES0402,46.9326,428.7154,-90,No
27,comp,1,1,R4,10K,RES0402,-4.350000000000001,408.5224,90,No
62,comp,1,1,R39,100,RES0402,43.554399999999994,430.2394,90,No
61,comp,1,1,R38,100,RES0402,43.4274,439.2564,90,No
60,comp,1,1,R37,100,RES0402,43.275,448.629,90,No
59,comp,1,1,R36,0,RES0402,40.608,422.1114,90,No
58,comp,1,1,R35,0,RES0402,40.582600000000006,419.7746,-90,No
57,comp,1,1,R34,49.9k,RES0402,39.744400000000006,431.357,180,No
56,comp,1,1,R33,49.9k,RES0402,39.719,429.198,180,No
55,comp,1,1,R32,49.9k,RES0402,39.6428,440.374,180,No
54,comp,1,1,R31,49.9k,RES0402,39.6428,438.21500000000003,180,No
53,comp,1,1,R30,49.9k,RES0402,39.464999999999996,449.6958,180,No
26,comp,1,1,R3,10K,RES0402,-4.350000000000001,396.6098,-90,No
52,comp,1,1,R29,49.9k,RES0402,39.464999999999996,447.53679999999997,180,No
51,comp,1,1,R28,0,RES0402,39.0332,422.1114,90,No
50,comp,1,1,R27,0,RES0402,39.007799999999996,419.7746,-90,No
49,comp,1,1,R26,0,RES0402,37.712399999999995,420.4096,-90,No
48,comp,1,1,R25,0,RES0402,36.8234,420.4096,-90,No
47,comp,1,1,R24,1k,RES0402,34.512,394.273,90,No
46,comp,1,1,R23,100,RES0402,32.9372,425.9214,45,No
45,comp,1,1,R22,100,RES0402,30.252000000000002,394.596,180,No
44,comp,1,1,R21,100,RES0402,28.4668,444.3618,90,No
43,comp,1,1,R20,4.9 kOhm,RES0603,27.730200000000004,451.9818,90,No
25,comp,1,1,R2,10K,RES0402,-8.16,408.5224,90,No
42,comp,1,1,R19,4.9 kOhm,RES0603,27.730200000000004,448.8068,90,No
41,comp,1,1,R18,100,RES0402,27.2476,382.2588,-90,No
40,comp,1,1,R17,100,RES0402,24.732999999999997,408.1414,-90,No
39,comp,1,1,R16,100,RES0402,24.275800000000004,412.3324,0,No
38,comp,1,1,R15,4.9 kOhm,RES0603,15.843000000000004,423.9656,90,No
37,comp,1,1,R14,4.9 kOhm,RES0603,15.843000000000004,420.7906,90,No
36,comp,1,1,R13,100,RES0402,15.1826,444.79359999999997,-45,No
35,comp,1,1,R12,0,RES0402,12.5156,447.0796,90,No
34,comp,1,1,R11,0,RES0402,12.5156,444.565,-90,No
33,comp,1,1,R10,1k,RES0402,12.160000000000004,409.4622,90,No
