REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
PT1,10070158-00419XLF_10070158-004_10070158-00419XLF,10070158-00419XLF,,10070158-004,134.366,159.6898,180,NO
JT3,SFP-1367073-1_JACK_1367073-CAGE_UE75-A20-3000T,UE75-A20-3000T,,1367073-CAGE,229.5164,131.7432,270,NO
JT4,SFP-1367073-1_JACK_1367073-CAGE_UE75-A20-3000T,UE75-A20-3000T,,1367073-CAGE,211.1268,131.6924,270,NO
JT5,SFP-1367073-1_JACK_1367073-CAGE_UE75-A20-3000T,UE75-A20-3000T,,1367073-CAGE,192.5848,131.667,270,NO
UT36,SN74AVCH8T245PWR_24-TSSOP_SN74AVC8T245PWR,SN74AVC8T245PWR,,24-TSSOP,172.9902,25.7302,180,NO
UT8,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,50.4693,121.1877,180,NO
UT9,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,97.1799,120.121,180,NO
UT12,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,141.3158,103.687,0,NO
UT19,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,94.1226,77.8213,0,NO
UT20,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,47.8692,77.7705,0,NO
UT28,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,210.312,54.2072,90,NO
UT31,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,39.9444,32.4061,0,NO
UT32,TMP117_6-WSON_2X2_TMP117NAIDRVR,TMP117NAIDRVR,,6-WSON_2X2,89.576,32.3384,0,NO
SWT1,SW_DIP8_A6H-8102_A6H-8102,A6H-8102,,A6H-8102,117.7882,61.6408,90,NO
SWT2,SW_DIP8_A6H-8102_A6H-8102,A6H-8102,,A6H-8102,65.6408,16.5052,180,NO
UT18,LTM4622_BGA-25_LTM4622AEV#PBF,LTM4622AEV#PBF,,BGA-25,119.38,85.852,180,NO
UT3,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,42.164,144.018,90,NO
UT4,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,92.1258,144.018,90,NO
UT5,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,143.256,124.841,90,NO
UT14,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,42.0624,99.4664,90,NO
UT15,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,92.1258,99.441,90,NO
UT26,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,42.037,54.229,90,NO
UT27,LTM8064_BGA108C127P1600X1190X512N_LTM8064IY,LTM8064IY,,BGA108C127P1600X1190X512N,92.329,54.229,90,NO
CT3,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,41.529,157.8102,0,NO
CT4,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,91.4908,157.8102,0,NO
CT16,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,142.2908,138.1506,0,NO
CT42,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,41.4274,113.2586,0,NO
CT43,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,91.4908,113.2332,0,NO
CT92,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,41.402,68.0212,0,NO
CT93,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,91.694,68.0212,0,NO
CT1,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,31.8008,159.2072,0,NO
CT2,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,81.7626,159.2072,0,NO
CT6,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,123.5188,150.6982,90,NO
CT15,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,132.588,139.8016,0,NO
CT40,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,31.6992,114.6556,0,NO
CT41,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,81.7626,114.6302,0,NO
CT90,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,31.6738,69.4182,0,NO
CT91,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,81.9658,69.4182,0,NO
CT17,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.5484,137.3124,0,NO
CT18,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.5102,137.3124,0,NO
CT24,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.5484,129.032,0,NO
CT25,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.5102,129.032,0,NO
CT30,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,34.0106,120.6754,90,NO
CT34,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,83.9724,120.6754,90,NO
CT36,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,156.6404,118.1354,0,NO
CT47,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,156.6404,109.855,0,NO
CT53,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,135.6106,101.0262,90,NO
CT61,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.4468,92.7608,0,NO
CT62,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.5102,92.7354,0,NO
CT74,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.4468,84.4804,0,NO
CT75,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.5102,84.455,0,NO
CT85,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,33.909,76.1238,90,NO
CT86,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,83.9724,76.0984,90,NO
CT106,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.4214,47.5234,0,NO
CT107,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.7134,47.5234,0,NO
CT120,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,55.4214,39.243,0,NO
CT121,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,105.7134,39.243,0,NO
CT138,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,33.8836,30.8864,90,NO
CT139,CAP_NP_CAP1210_DISCRETE_47UF_,47UF,,CAP1210,84.1756,30.8864,90,NO
CT13,CAP_POL_CAP2917_150UF,150UF,,CAP2917,53.5432,144.8562,90,NO
CT14,CAP_POL_CAP2917_150UF,150UF,,CAP2917,103.505,144.8562,90,NO
CT21,CAP_POL_CAP2917_150UF,150UF,,CAP2917,43.6372,130.6322,180,NO
CT22,CAP_POL_CAP2917_150UF,150UF,,CAP2917,93.5482,130.5814,180,NO
CT29,CAP_POL_CAP2917_150UF,150UF,,CAP2917,154.178,125.2982,90,NO
CT46,CAP_POL_CAP2917_150UF,150UF,,CAP2917,143.9418,111.2012,180,NO
CT54,CAP_POL_CAP2917_150UF,150UF,,CAP2917,53.4416,100.3046,90,NO
CT55,CAP_POL_CAP2917_150UF,150UF,,CAP2917,103.505,100.2792,90,NO
CT58,CAP_POL_CAP2917_150UF,150UF,,CAP2917,124.206,94.996,180,NO
CT70,CAP_POL_CAP2917_150UF,150UF,,CAP2917,142.875,88.0472,270,NO
CT72,CAP_POL_CAP2917_150UF,150UF,,CAP2917,43.5864,86.0044,180,NO
CT73,CAP_POL_CAP2917_150UF,150UF,,CAP2917,93.726,85.9536,180,NO
CT81,CAP_POL_CAP2917_150UF,150UF,,CAP2917,139.0645,81.026,90,NO
CT84,CAP_POL_CAP2917_150UF,150UF,,CAP2917,123.19,76.962,270,NO
CT103,CAP_POL_CAP2917_150UF,150UF,,CAP2917,53.4162,55.0672,90,NO
CT104,CAP_POL_CAP2917_150UF,150UF,,CAP2917,103.7082,55.0672,90,NO
CT116,CAP_POL_CAP2917_150UF,150UF,,CAP2917,43.5864,40.7416,180,NO
CT117,CAP_POL_CAP2917_150UF,150UF,,CAP2917,93.9038,40.7416,180,NO
JT2,5025700893_CON_MOL_10P_5025700893_5025700893,5025700893,,CON_MOL_10P_5025700893,165.0432,162.2058,0,NO
DT1,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,34.3916,130.5052,0,NO
DT2,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,84.3534,130.5052,0,NO
DT7,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,134.7724,111.2012,0,NO
DT9,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,34.29,85.9536,0,NO
DT10,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,84.3534,85.9282,0,NO
DT13,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,34.2646,40.7162,0,NO
DT14,SD05_TCT,SMCJ12CA-E3/57T,,DIO-214AB,84.5566,40.7162,0,NO
JT16,ERM8-030-01-S-D-RA-TR_ERM8-030-01-S-D-RA-TR_ERM8-030-01-S-D-RA-TR,ERM8-030-01-S-D-RA-TR,,ERM8-030-01-S-D-RA-TR,81.8896,3.2872,180,NO
JT8,XU5 SOC CONNECTOR-A_FX10A-168P-SV_FX10A-168P-SV(71),FX10A-168P-SV(71),,FX10A-168P-SV,204.978,80.563,180,NO
JT12,XU5 SOC CONNECTOR-B_FX10A-168P-SV_FX10A-168P-SV(71),FX10A-168P-SV(71),,FX10A-168P-SV,204.978,38.563,180,NO
LT1,IND_INDC_4X4X4_MM_65 NH,65 nH,,INDC_4X4X4_MM,31.5976,154.8638,0,NO
LT2,IND_INDC_4X4X4_MM_65 NH,65 nH,,INDC_4X4X4_MM,81.5594,154.8638,0,NO
LT5,IND_INDC_4X4X4_MM_65 NH,65 nH,,INDC_4X4X4_MM,132.612,135.7376,0,NO
