REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CB67,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,175.8696,106.7072,180,YES
CB74,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,175.8453,105.0656,180,YES
CB1,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,169.1894,164.1094,180,YES
CB8,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,102.87,156.6577,90,YES
CB17,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,223.6104,130.4062,270,YES
CB19,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.2208,130.3554,270,YES
CB21,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.6788,130.33,270,YES
CB24,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,229.5164,126.1536,90,YES
CB26,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,220.6894,126.1536,90,YES
CB28,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,211.1268,126.1028,90,YES
CB30,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,202.2998,126.1028,90,YES
CB32,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,192.5848,126.0774,90,YES
CB34,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.7578,126.0774,90,YES
CB37,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,67.0814,122.5042,90,YES
CB38,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,64.9986,122.5042,90,YES
CB39,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,17.1196,122.5042,90,YES
CB40,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,15.0368,122.5042,90,YES
CB41,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,50.0665,121.1877,180,YES
CB42,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,96.7771,120.121,180,YES
CB46,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,214.0966,114.1211,90,YES
CB47,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,211.5566,114.1211,90,YES
CB53,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,189.738,110.9726,90,YES
CB54,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,188.0108,110.9726,90,YES
CB55,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.058,110.9726,90,YES
CB56,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.6674,110.9726,90,YES
CB57,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,110.1841,0,YES
CB60,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.3336,109.1681,180,YES
CB61,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,108.5331,0,YES
CB62,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,107.95,180,YES
CB63,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.3336,107.5171,180,YES
CB64,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,115.5446,107.188,270,YES
CB66,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,191.516,106.8578,0,YES
CB70,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,117.1448,106.4768,270,YES
CB71,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,106.2971,0,YES
CB72,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,106.2228,180,YES
CB75,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,191.516,104.9392,0,YES
CB76,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,104.5972,180,YES
CB77,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,104.5191,0,YES
CB78,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,188.214,103.7472,270,YES
CB79,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.058,103.7472,270,YES
CB80,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,141.7186,103.687,0,YES
CB81,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,212.3186,100.2781,270,YES
CB82,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,210.0326,100.2781,270,YES
CB84,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,237.1111,94.0733,270,YES
CB85,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,116.7892,91.6882,0,YES
CB86,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,206.883,87.784,270,YES
CB87,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,224.9932,86.0314,270,YES
CB88,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,215.773,80.563,90,YES
