REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CT56,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,181.1038,97.7392,90,NO
CT57,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,179.4622,97.7149,90,NO
CT105,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,236.1828,48.8442,180,NO
CT118,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,234.2388,40.1574,270,NO
CT119,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,235.9755,40.1574,270,NO
CT137,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,228.473,30.734,180,NO
CT140,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,228.473,28.9973,180,NO
CT141,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,237.1598,28.79,90,NO
CT9,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,139.6704,148.1623,180,NO
CT10,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,139.6704,146.5542,180,NO
CT31,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.0726,120.3441,90,NO
CT35,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.6108,118.3132,90,NO
CT44,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,178.513,112.9655,270,NO
CT59,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,220.0669,94.1821,90,NO
CT65,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.045,89.8947,180,NO
CT69,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.045,88.2866,180,NO
CT83,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,130.6562,77.2137,180,NO
CT87,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,130.6562,75.6057,180,NO
CT88,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,225.0406,75.1976,270,NO
CT89,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,216.9414,74.9046,270,NO
CT97,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,165.1254,59.5376,0,NO
