REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CB1,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,169.1894,164.1094,180,YES
CB2,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.7626,159.2072,180,YES
CB3,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.8008,159.2072,180,YES
CB4,CAP_NP_CAP0603_DISCRETE_1UF_,1UF,,CAP0603,168.3258,159.0294,90,YES
CB5,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,69.8754,157.226,0,YES
CB6,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.9136,156.6672,0,YES
CB7,CAP_NP_CAP0603_DISCRETE_4.7UF_,4.7UF,,CAP0603,104.4332,156.6577,90,YES
CB8,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,102.87,156.6577,90,YES
CB9,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,69.8754,153.8478,0,YES
CB10,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.9136,153.8478,0,YES
CB11,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.2236,151.0792,180,YES
CB12,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.2618,151.0792,180,YES
CB13,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,132.588,139.8016,180,YES
CB14,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,120.904,137.5156,0,YES
CB15,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,120.904,134.7216,0,YES
CB16,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,138.3538,131.9022,180,YES
CB17,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,223.6104,130.4062,270,YES
CB18,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,221.8324,130.4062,270,YES
CB19,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.2208,130.3554,270,YES
CB20,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,203.4428,130.3554,270,YES
CB21,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.6788,130.33,270,YES
CB22,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,184.9008,130.33,270,YES
CB23,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,231.2416,126.1536,90,YES
CB24,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,229.5164,126.1536,90,YES
CB25,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,224.1184,126.1536,90,YES
CB26,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,220.6894,126.1536,90,YES
CB27,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,212.852,126.1028,90,YES
CB28,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,211.1268,126.1028,90,YES
CB29,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,205.7288,126.1028,90,YES
CB30,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,202.2998,126.1028,90,YES
CB31,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,194.31,126.0774,90,YES
CB32,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,192.5848,126.0774,90,YES
CB33,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,187.1868,126.0774,90,YES
CB34,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.7578,126.0774,90,YES
CB35,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,21.5392,124.0282,90,YES
CB36,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,71.501,124.0282,90,YES
CB37,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,67.0814,122.5042,90,YES
CB38,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,64.9986,122.5042,90,YES
CB39,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,17.1196,122.5042,90,YES
CB40,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,15.0368,122.5042,90,YES
CB41,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,50.0665,121.1877,180,YES
CB42,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,96.7771,120.121,180,YES
CB43,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.6992,114.6556,180,YES
CB44,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.7626,114.6302,180,YES
CB45,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,215.7476,114.1211,90,YES
CB46,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,214.0966,114.1211,90,YES
CB47,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,211.5566,114.1211,90,YES
CB48,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,209.9056,114.1211,90,YES
CB49,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,69.8754,112.7506,0,YES
CB50,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.812,113.2586,0,YES
CB51,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,218.9226,111.8711,0,YES
CB52,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,191.516,110.9726,90,YES
CB53,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,189.738,110.9726,90,YES
CB54,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,188.0108,110.9726,90,YES
CB55,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.058,110.9726,90,YES
CB56,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.6674,110.9726,90,YES
CB57,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,110.1841,0,YES
CB58,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.812,109.2962,0,YES
CB59,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,69.8754,109.2708,0,YES
CB60,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.3336,109.1681,180,YES
CB61,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,108.5331,0,YES
CB62,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,107.95,180,YES
CB63,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.3336,107.5171,180,YES
CB64,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,115.5446,107.188,270,YES
CB65,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,196.088,106.8578,180,YES
CB66,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,191.516,106.8578,0,YES
CB67,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,175.8696,106.7072,180,YES
CB68,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.1602,106.5276,180,YES
CB69,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.2236,106.5022,180,YES
CB70,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,117.1448,106.4768,270,YES
CB71,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,106.2971,0,YES
CB72,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,106.2228,180,YES
CB73,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,205.3336,105.8661,180,YES
CB74,CAP_NP_CAP0603_DISCRETE_0.01UF_,0.01UF,,CAP0603,175.8453,105.0656,180,YES
CB75,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,191.516,104.9392,0,YES
CB76,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,183.3372,104.5972,180,YES
CB77,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,218.9226,104.5191,0,YES
CB78,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,188.214,103.7472,270,YES
CB79,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,186.058,103.7472,270,YES
CB80,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,141.7186,103.687,0,YES
CB81,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,212.3186,100.2781,270,YES
CB82,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,210.0326,100.2781,270,YES
CB83,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,208.3816,100.2781,270,YES
CB84,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,237.1111,94.0733,270,YES
CB85,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,116.7892,91.6882,0,YES
CB86,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,206.883,87.784,270,YES
CB87,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,224.9932,86.0314,270,YES
CB88,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,215.773,80.563,90,YES
CB89,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,116.7892,79.784,0,YES
CB90,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,21.4376,79.4766,90,YES
CB91,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,71.501,79.4512,90,YES
CB92,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,17.018,77.9526,90,YES
CB93,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,14.9352,77.9526,90,YES
CB94,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,67.0814,77.9272,90,YES
CB95,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,64.9986,77.9272,90,YES
CB96,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,94.5254,77.8213,0,YES
CB97,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,48.272,77.7705,0,YES
CB98,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,225.044,75.1976,90,YES
CB99,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,207.645,74.93,90,YES
CB100,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.9658,69.4182,180,YES
CB101,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.6738,69.4182,180,YES
CB102,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.7866,67.691,0,YES
CB103,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,70.0786,67.5132,0,YES
CB104,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,70.0786,64.0588,0,YES
CB105,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.7866,64.0588,0,YES
CB106,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.4268,61.2902,180,YES
CB107,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.1348,61.2902,180,YES
CB108,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.105,59.2576,90,YES
CB109,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.105,55.0932,270,YES
CB110,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,210.312,54.61,90,YES
CB111,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,202.311,44.958,270,YES
CB112,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,153.1376,37.7462,90,YES
CB113,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,65.278,36.5506,0,YES
CB114,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,67.2846,32.7152,90,YES
CB115,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,65.2018,32.7152,90,YES
CB116,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,15.8496,36.2458,0,YES
CB117,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,16.9926,32.7152,90,YES
CB118,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,14.9098,32.7152,90,YES
CB119,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,40.3472,32.4061,0,YES
CB120,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,89.9788,32.3384,0,YES
CB121,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,128.016,26.8986,180,YES
CB122,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.572,26.5326,90,YES
CB123,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,133.226,23.0886,270,YES
CB124,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.572,23.0886,270,YES
CB125,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,50.673,13.716,90,YES
CB126,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,48.641,13.716,90,YES
CB127,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,44.323,13.716,90,YES
CB128,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,42.037,13.716,90,YES
CB129,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,39.9542,13.716,90,YES
CB130,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,37.719,13.716,90,YES
CB131,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,33.533,13.716,90,YES
CB132,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,31.496,13.716,90,YES
CB133,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,29.342,13.716,90,YES
CB134,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,27.305,13.716,90,YES
CB135,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,46.4566,13.6652,90,YES
CB136,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,35.687,13.6652,90,YES
CT1,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,31.8008,159.2072,0,NO
CT2,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,81.7626,159.2072,0,NO
CT3,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,41.529,157.8102,0,NO
CT4,CAP_POL_CAP-RAD-SMD_15UF,15UF,,CAP-RAD-SMD,91.4908,157.8102,0,NO
CT5,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,120.0082,150.8506,90,NO
CT6,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,123.5188,150.6982,90,NO
CT7,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.591,148.7932,180,NO
CT8,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5528,148.7932,180,NO
CT9,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,139.6704,148.1623,180,NO
CT10,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,139.6704,146.5542,180,NO
CT11,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.615,146.1262,180,NO
CT12,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5768,146.1262,180,NO
CT13,CAP_POL_CAP2917_150UF,150UF,,CAP2917,53.5432,144.8562,90,NO
CT14,CAP_POL_CAP2917_150UF,150UF,,CAP2917,103.505,144.8562,90,NO
CT15,CAP_NP_CAP1210_DISCRETE_2.2UF_,2.2UF,,CAP1210,132.588,139.8016,0,NO
